true_label,pred,radius,correct,abstained,time_s
0,0,0.6158156536952029,True,False,1.07
0,0,0.6158156536952029,True,False,1.32
1,1,0.5338709799083976,True,False,2.06
0,0,0.6158156536952029,True,False,1.51
1,0,0.20120021425081777,False,False,1.74
1,0,0.36642169766915317,False,False,1.57
0,0,0.6158156536952029,True,False,1.58
0,0,0.6158156536952029,True,False,1.68
0,0,0.6158156536952029,True,False,1.47
0,0,0.6158156536952029,True,False,1.64
0,0,0.6158156536952029,True,False,1.45
1,0,0.5710729611289254,False,False,1.55
1,0,0.6158156536952029,False,False,1.72
2,0,0.6158156536952029,False,False,1.65
1,1,0.41295529799903924,True,False,1.7
2,0,0.6158156536952029,False,False,1.39
0,0,0.6158156536952029,True,False,1.47
0,0,0.6158156536952029,True,False,1.72
1,0,0.6158156536952029,False,False,1.71
0,0,0.6158156536952029,True,False,1.78
2,0,0.6158156536952029,False,False,1.47
1,0,0.33838914412348986,False,False,1.52
1,0,0.5710729611289254,False,False,1.78
0,0,0.6158156536952029,True,False,1.79
2,0,0.6158156536952029,False,False,1.84
2,0,0.6158156536952029,False,False,1.75
0,0,0.6158156536952029,True,False,1.76
1,0,0.5894126426487897,False,False,1.47
1,1,0.6158156536952029,True,False,1.61
1,0,0.6158156536952029,False,False,1.87
0,0,0.6158156536952029,True,False,1.72
0,0,0.6158156536952029,True,False,1.38
0,0,0.6158156536952029,True,False,1.22
1,0,0.49450239553529984,False,False,1.55
0,0,0.6158156536952029,True,False,1.82
0,0,0.6158156536952029,True,False,1.72
0,0,0.6158156536952029,True,False,1.37
0,0,0.023164725434897913,True,False,1.22
0,0,0.6158156536952029,True,False,1.14
1,0,0.6158156536952029,False,False,1.27
1,0,0.6158156536952029,False,False,2.28
0,0,0.6158156536952029,True,False,1.68
1,0,0.6158156536952029,False,False,1.57
2,0,0.6158156536952029,False,False,1.31
0,0,0.6158156536952029,True,False,1.46
0,0,0.6158156536952029,True,False,1.9
1,0,0.5894126426487897,False,False,1.64
0,0,0.6158156536952029,True,False,1.34
0,0,0.6158156536952029,True,False,1.38
0,0,0.6158156536952029,True,False,1.52
1,0,0.4192976264539804,False,False,1.68
0,0,0.6158156536952029,True,False,1.62
1,0,0.6158156536952029,False,False,1.57
2,0,0.6158156536952029,False,False,1.87
0,0,0.6158156536952029,True,False,1.83
2,0,0.3537759091041536,False,False,1.66
1,0,0.6158156536952029,False,False,1.37
0,0,0.19021425799064035,True,False,1.3
0,0,0.6158156536952029,True,False,1.75
2,1,0.12313683361469673,False,False,1.75
2,0,0.6158156536952029,False,False,1.78
1,0,0.6158156536952029,False,False,1.73
0,0,0.6158156536952029,True,False,1.72
0,0,0.6158156536952029,True,False,1.48
1,0,0.6158156536952029,False,False,1.67
1,0,0.5894126426487897,False,False,1.89
1,0,0.6158156536952029,False,False,1.75
1,0,0.6158156536952029,False,False,1.45
1,1,0.6158156536952029,True,False,1.38
0,0,0.5160330544772657,True,False,1.78
1,0,0.48827847359135923,False,False,1.71
0,0,0.6158156536952029,True,False,1.5
0,0,0.6158156536952029,True,False,1.7
1,0,0.6158156536952029,False,False,1.41
2,0,0.6158156536952029,False,False,1.28
0,0,0.6158156536952029,True,False,1.54
2,0,0.6158156536952029,False,False,1.94
0,0,0.6158156536952029,True,False,1.77
0,0,0.6158156536952029,True,False,1.45
1,0,0.4405629284296216,False,False,1.43
0,0,0.6158156536952029,True,False,1.8
2,1,0.33298247920172386,False,False,1.6
2,1,0.6158156536952029,False,False,1.62
0,0,0.6158156536952029,True,False,1.92
2,0,0.6158156536952029,False,False,1.57
1,0,0.6158156536952029,False,False,1.54
1,0,0.6158156536952029,False,False,1.9
0,0,0.6158156536952029,True,False,1.86
1,0,0.41295529799903924,False,False,1.98
2,0,0.6158156536952029,False,False,1.63
0,0,0.6158156536952029,True,False,1.62
2,0,0.6158156536952029,False,False,1.85
0,0,0.6158156536952029,True,False,1.97
0,0,0.6158156536952029,True,False,1.54
1,0,0.5338709799083976,False,False,1.31
1,0,0.6158156536952029,False,False,1.46
2,0,0.6158156536952029,False,False,2.09
2,0,0.6158156536952029,False,False,1.99
0,0,0.6158156536952029,True,False,1.98
0,0,0.5894126426487897,True,False,1.7
